Name,Games,Total,Avg,SGOLD,SSILVER,SBRONZE,WGOLD,WSILVER,WBRONZE,STOTAL,WTOTAL
 United States      ,50,2827,57,1022,795,705,105,112,88,2522,305
 Great Britain   ,51,883,17.31,263,295,293,11,4,17,851,32
 Italy   ,50,701,14.02,206,178,193,40,36,48,577,124
 Russia  ,12,546,45.5,148,125,153,47,38,35,426,120
 Australia   ,45,512,11.38,147,163,187,5,5,5,497,15
 Japan ,43,497,11.56,142,136,161,14,22,22,439,58
 Netherlands  ,47,415,8.83,85,92,108,45,44,41,285,130
 Austria ,50,319,6.38,18,33,36,64,81,87,87,232
 Poland ,44,306,6.95,68,84,132,7,7,8,284,22
 Czechoslovakia  ,32,168,5.25,49,49,45,2,8,15,143,25
 Ukraine ,13,128,9.85,34,30,56,3,1,4,120,8
 Czech Republic  ,13,87,6.69,15,17,24,9,11,11,56,31
 Croatia ,15,44,2.93,11,10,12,4,6,1,33,11
 Latvia ,22,28,1.27,3,11,5,1,3,5,19,9
 Liechtenstein ,36,10,0.28,0,0,0,2,2,6,0,10
 Chile  ,40,13,0.33,2,7,4,0,0,0,13,0
 Uganda ,15,7,0.47,2,3,2,0,0,0,7,0
 Luxembourg  ,32,4,0.13,1,1,0,0,2,0,2,2
 Panama ,17,3,0.18,1,0,2,0,0,0,3,0
