Name,Games,Total,Avg,SGOLD,SSILVER,SBRONZE,WGOLD,WSILVER,WBRONZE,STOTAL,WTOTAL
US,50,2827,56.54,600,400,700,600,400,700,1600,1650
SU,18,1204,66.89,600,400,700,600,400,700,1600,1650
GB,51,883,17.31,600,400,700,600,400,700,1600,1650
GM,28,855,30.54,600,400,700,600,400,700,1600,1650
FR,51,840,16.47,600,400,700,600,400,700,1600,1650
IT,50,701,14.02,600,400,700,600,400,700,1600,1650
SW,50,652,13.04,600,400,700,600,400,700,1600,1650
CH,21,608,28.95,600,400,700,600,400,700,1600,1650
RU,12,546,45.5,600,400,700,600,400,700,1600,1650
NW,48,520,10.83,600,400,700,600,400,700,1600,1650
